customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,No,Yes,62,Yes,Fiber optic,One year,Mailed check,87.43,5417.21,No
CUST00001,Female,0,No,No,69,Yes,DSL,Month-to-month,Bank transfer,69.89,4838.6,Yes
CUST00002,Male,0,No,No,63,Yes,No,One year,Electronic check,41.09,2612.89,No
CUST00003,Male,1,Yes,No,2,Yes,No,One year,Bank transfer,54.14,148.83,No
CUST00004,Male,0,Yes,Yes,54,Yes,DSL,Month-to-month,Credit card,77.43,4209.3,No
CUST00005,Female,0,Yes,No,16,Yes,Fiber optic,One year,Bank transfer,35.53,575.09,No
CUST00006,Male,1,Yes,No,55,No,Fiber optic,Two year,Credit card,68.17,3736.52,No
CUST00007,Male,0,No,Yes,43,Yes,Fiber optic,One year,Credit card,60.9,2542.05,No
CUST00008,Male,0,No,Yes,61,Yes,DSL,Month-to-month,Bank transfer,67.67,4135.64,Yes
CUST00009,Female,1,No,Yes,38,Yes,Fiber optic,Two year,Bank transfer,30.56,1216.0,No
CUST00010,Male,0,No,Yes,45,Yes,DSL,One year,Bank transfer,30.65,1340.9,No
CUST00011,Male,1,Yes,No,51,Yes,DSL,Month-to-month,Credit card,116.41,5903.5,Yes
CUST00012,Male,0,No,Yes,42,Yes,Fiber optic,Month-to-month,Electronic check,117.94,5018.75,No
CUST00013,Male,0,Yes,No,24,Yes,Fiber optic,Month-to-month,Mailed check,62.62,1584.5,No
CUST00014,Female,0,No,Yes,30,Yes,Fiber optic,Two year,Bank transfer,98.9,2925.26,No
CUST00015,Male,1,No,Yes,37,Yes,Fiber optic,Month-to-month,Mailed check,85.58,3294.03,No
CUST00016,Female,0,No,No,53,Yes,DSL,Month-to-month,Bank transfer,31.69,1700.44,No
CUST00017,Female,0,Yes,No,63,Yes,Fiber optic,Two year,Credit card,49.67,3175.38,No
CUST00018,Female,0,Yes,No,11,Yes,DSL,Month-to-month,Credit card,51.37,547.46,Yes
CUST00019,Male,0,No,Yes,23,Yes,Fiber optic,Two year,Mailed check,79.58,1843.25,No
CUST00020,Female,0,No,Yes,50,Yes,Fiber optic,Month-to-month,Electronic check,78.0,3921.29,No
CUST00021,Male,0,No,No,55,Yes,Fiber optic,Month-to-month,Credit card,112.35,6134.27,Yes
CUST00022,Female,0,Yes,No,55,Yes,Fiber optic,Month-to-month,Mailed check,99.0,5527.67,Yes
CUST00023,Female,0,Yes,Yes,4,Yes,Fiber optic,Two year,Credit card,105.68,420.76,Yes
CUST00024,Female,0,Yes,No,54,Yes,No,One year,Bank transfer,109.12,5867.48,No
CUST00025,Female,0,No,No,61,No,Fiber optic,Two year,Mailed check,100.13,6049.99,No
CUST00026,Female,0,Yes,Yes,5,Yes,Fiber optic,One year,Mailed check,53.29,294.57,Yes
CUST00027,Female,1,No,No,18,No,No,Month-to-month,Bank transfer,41.5,759.79,No
CUST00028,Female,0,Yes,Yes,44,Yes,Fiber optic,Month-to-month,Mailed check,77.18,3347.14,Yes
CUST00029,Female,1,No,Yes,31,Yes,Fiber optic,Month-to-month,Bank transfer,88.96,2764.76,Yes
CUST00030,Male,0,No,Yes,21,Yes,DSL,One year,Electronic check,58.66,1256.26,No
CUST00031,Male,0,Yes,No,47,Yes,DSL,Two year,Bank transfer,104.83,4907.26,No
CUST00032,Female,0,No,No,30,No,Fiber optic,Month-to-month,Electronic check,116.06,3500.48,Yes
CUST00033,Female,0,No,No,55,Yes,Fiber optic,One year,Mailed check,76.94,4231.94,Yes
CUST00034,Female,0,No,No,68,Yes,Fiber optic,Two year,Bank transfer,65.66,4453.9,Yes
CUST00035,Male,0,Yes,Yes,69,Yes,No,Month-to-month,Mailed check,104.29,7148.01,No
CUST00036,Female,0,No,Yes,41,Yes,DSL,Two year,Electronic check,22.43,929.58,No
CUST00037,Male,0,Yes,No,45,Yes,Fiber optic,Month-to-month,Credit card,32.9,1376.8,Yes
CUST00038,Male,0,Yes,No,30,Yes,Fiber optic,One year,Credit card,104.57,3209.01,No
CUST00039,Male,0,No,No,45,Yes,Fiber optic,Month-to-month,Credit card,93.2,4253.36,Yes
CUST00040,Male,0,Yes,No,45,Yes,Fiber optic,Month-to-month,Credit card,61.61,2721.22,Yes
CUST00041,Male,0,No,Yes,45,Yes,DSL,Month-to-month,Credit card,108.89,4828.1,No
CUST00042,Female,0,Yes,No,55,Yes,DSL,Two year,Electronic check,55.15,3091.71,No
CUST00043,Female,0,No,Yes,59,Yes,Fiber optic,One year,Credit card,83.38,4911.11,No
CUST00044,Female,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Credit card,83.43,420.14,Yes
CUST00045,Female,0,No,No,32,Yes,Fiber optic,Two year,Mailed check,38.43,1230.95,Yes
CUST00046,Female,0,No,No,6,Yes,No,One year,Bank transfer,48.49,225.24,Yes
CUST00047,Male,0,No,Yes,26,Yes,DSL,Two year,Bank transfer,111.6,2940.87,No
CUST00048,Female,0,No,No,37,Yes,Fiber optic,Month-to-month,Bank transfer,38.34,1441.02,Yes
CUST00049,Female,0,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Bank transfer,37.36,486.62,Yes
CUST00050,Male,0,Yes,Yes,69,Yes,No,One year,Electronic check,67.96,4575.8,No
CUST00051,Female,0,No,No,25,Yes,No,Month-to-month,Bank transfer,29.22,755.68,No
CUST00052,Male,0,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Mailed check,109.46,1441.89,Yes
CUST00053,Female,1,No,Yes,20,Yes,Fiber optic,Month-to-month,Electronic check,30.01,595.48,Yes
CUST00054,Male,0,No,Yes,60,Yes,DSL,Month-to-month,Credit card,81.66,4947.86,No
CUST00055,Female,1,Yes,No,21,No,DSL,Month-to-month,Mailed check,53.98,1190.03,No
CUST00056,Female,0,Yes,Yes,61,Yes,Fiber optic,Two year,Mailed check,100.43,6143.01,No
CUST00057,Male,0,No,Yes,26,Yes,Fiber optic,Month-to-month,Credit card,78.98,1977.88,Yes
CUST00058,Male,0,Yes,No,54,Yes,Fiber optic,Month-to-month,Credit card,58.83,3113.55,Yes
CUST00059,Male,0,No,No,42,Yes,Fiber optic,Month-to-month,Mailed check,118.39,4937.49,No
CUST00060,Male,0,Yes,Yes,11,Yes,Fiber optic,One year,Electronic check,26.62,280.39,No
CUST00061,Male,0,Yes,Yes,37,Yes,Fiber optic,One year,Credit card,77.78,2919.94,Yes
CUST00062,Male,0,Yes,Yes,11,Yes,DSL,One year,Bank transfer,118.96,1325.03,No
CUST00063,Male,0,Yes,Yes,27,Yes,DSL,Month-to-month,Mailed check,89.1,2397.41,No
CUST00064,Male,0,Yes,No,34,No,DSL,Month-to-month,Mailed check,93.98,3226.77,Yes
CUST00065,Female,0,No,No,38,Yes,Fiber optic,One year,Credit card,23.21,843.21,No
CUST00066,Female,0,Yes,Yes,61,Yes,DSL,Two year,Credit card,22.14,1381.89,No
CUST00067,Male,0,Yes,No,53,Yes,Fiber optic,One year,Bank transfer,23.61,1262.72,No
CUST00068,Female,0,No,Yes,65,Yes,DSL,Month-to-month,Bank transfer,119.17,7772.21,No
CUST00069,Female,1,No,No,3,Yes,Fiber optic,Month-to-month,Bank transfer,117.95,396.16,Yes
CUST00070,Female,0,No,No,67,Yes,No,Month-to-month,Bank transfer,53.45,3578.77,No
CUST00071,Female,1,Yes,Yes,28,Yes,Fiber optic,One year,Mailed check,49.1,1275.25,No
CUST00072,Male,0,Yes,Yes,14,Yes,DSL,Month-to-month,Credit card,34.6,451.44,Yes
CUST00073,Female,0,No,Yes,52,Yes,DSL,Month-to-month,Electronic check,52.91,2790.4,No
CUST00074,Male,0,No,Yes,30,No,No,Month-to-month,Credit card,57.01,1682.06,No
CUST00075,Female,0,No,No,58,Yes,Fiber optic,Month-to-month,Credit card,94.83,5466.92,Yes
CUST00076,Female,1,No,No,54,Yes,Fiber optic,Month-to-month,Bank transfer,106.63,5761.13,Yes
CUST00077,Female,0,Yes,Yes,69,Yes,Fiber optic,Month-to-month,Bank transfer,94.67,6586.9,No
CUST00078,Male,0,Yes,No,15,Yes,DSL,One year,Mailed check,84.65,1292.65,No
CUST00079,Female,0,Yes,No,38,Yes,DSL,Month-to-month,Bank transfer,96.59,3757.46,Yes
CUST00080,Male,0,Yes,Yes,14,Yes,Fiber optic,Month-to-month,Mailed check,93.85,1333.98,Yes
